"scenario","replicate","adjusted_rand_index","withinss","class_name"
"zclr_noise_sd_0.03",4,1,91.7997239094716,"lead_barium"
"zclr_noise_sd_0.03",5,1,93.3552576953119,"lead_barium"
"zclr_noise_sd_0.03",6,1,92.2045979878391,"lead_barium"
"zclr_noise_sd_0.03",7,1,91.3989943355568,"lead_barium"
"zclr_noise_sd_0.03",8,1,90.9232738297453,"lead_barium"
"zclr_noise_sd_0.03",9,1,91.6589293105325,"lead_barium"
"zclr_noise_sd_0.03",10,1,91.4973994683977,"lead_barium"
"zclr_noise_sd_0.03",11,1,91.5375455390142,"lead_barium"
"zclr_noise_sd_0.03",12,1,92.0931006834376,"lead_barium"
"zclr_noise_sd_0.03",13,1,92.8998970166154,"lead_barium"
"zclr_noise_sd_0.03",14,1,93.2455606577157,"lead_barium"
"zclr_noise_sd_0.03",15,1,92.443852121039,"lead_barium"
"zclr_noise_sd_0.03",16,1,92.3977345603181,"lead_barium"
"zclr_noise_sd_0.03",17,1,92.3934735738235,"lead_barium"
"zclr_noise_sd_0.03",18,1,92.8698981160114,"lead_barium"
"zclr_noise_sd_0.03",19,1,92.4684262670148,"lead_barium"
"zclr_noise_sd_0.03",20,1,93.0607274312783,"lead_barium"
"zclr_noise_sd_0.03",21,1,92.2178601585534,"lead_barium"
"zclr_noise_sd_0.03",22,1,91.5107715701972,"lead_barium"
"zclr_noise_sd_0.03",23,1,92.3822474284974,"lead_barium"
"zclr_noise_sd_0.03",24,1,92.8274651248753,"lead_barium"
"zclr_noise_sd_0.03",25,1,91.7193143160017,"lead_barium"
"zclr_noise_sd_0.03",26,1,92.9897534766657,"lead_barium"
"zclr_noise_sd_0.03",27,1,92.834367421778,"lead_barium"
"zclr_noise_sd_0.03",28,1,91.2864367060504,"lead_barium"
"zclr_noise_sd_0.03",29,1,92.5138357564084,"lead_barium"
"zclr_noise_sd_0.03",30,1,92.345958738151,"lead_barium"
"zclr_noise_sd_0.03",31,1,93.7735138554827,"lead_barium"
"zclr_noise_sd_0.03",32,1,91.9024628956396,"lead_barium"
"zclr_noise_sd_0.03",33,1,92.3518663266181,"lead_barium"
"zclr_noise_sd_0.03",34,1,92.1880859739412,"lead_barium"
"zclr_noise_sd_0.03",35,1,93.5344177256491,"lead_barium"
"zclr_noise_sd_0.03",36,1,92.6397154778048,"lead_barium"
"zclr_noise_sd_0.03",37,1,91.7834507165635,"lead_barium"
"zclr_noise_sd_0.03",38,1,92.6200614983102,"lead_barium"
"zclr_noise_sd_0.03",39,1,91.4662149843061,"lead_barium"
"zclr_noise_sd_0.03",40,1,91.7527720578673,"lead_barium"
"zclr_noise_sd_0.03",41,1,91.560684494489,"lead_barium"
"zclr_noise_sd_0.03",42,1,92.7408559619032,"lead_barium"
"zclr_noise_sd_0.03",43,1,92.2062664046058,"lead_barium"
"zclr_noise_sd_0.03",44,1,93.0481321793656,"lead_barium"
"zclr_noise_sd_0.03",45,1,91.8654305191502,"lead_barium"
"zclr_noise_sd_0.03",46,0.955110862999385,92.0041407209987,"lead_barium"
"zclr_noise_sd_0.03",47,1,92.6507258808832,"lead_barium"
"zclr_noise_sd_0.03",48,1,92.5261873600407,"lead_barium"
"zclr_noise_sd_0.03",49,1,91.6085248798014,"lead_barium"
"zclr_noise_sd_0.03",50,1,92.7279800572723,"lead_barium"
"zclr_noise_sd_0.03",51,1,93.1758424430665,"lead_barium"
"zclr_noise_sd_0.03",52,1,93.1305404036761,"lead_barium"
"zclr_noise_sd_0.03",53,1,91.4620393442016,"lead_barium"
"zclr_noise_sd_0.03",54,1,93.2691809553509,"lead_barium"
"zclr_noise_sd_0.03",55,1,91.9110327974734,"lead_barium"
"zclr_noise_sd_0.03",56,1,92.5175377238082,"lead_barium"
"zclr_noise_sd_0.03",57,1,92.2786799758484,"lead_barium"
"zclr_noise_sd_0.03",58,1,92.8742512328498,"lead_barium"
"zclr_noise_sd_0.03",59,1,91.8241936918836,"lead_barium"
"zclr_noise_sd_0.03",60,1,91.9763716752299,"lead_barium"
"zclr_noise_sd_0.03",61,1,92.3514747792444,"lead_barium"
"zclr_noise_sd_0.03",62,1,91.8650062990981,"lead_barium"
"zclr_noise_sd_0.03",63,1,91.5004533030364,"lead_barium"
"zclr_noise_sd_0.03",64,1,91.6224924067887,"lead_barium"
"zclr_noise_sd_0.03",65,1,92.5733016009668,"lead_barium"
"zclr_noise_sd_0.03",66,1,91.8094076061031,"lead_barium"
"zclr_noise_sd_0.03",67,1,92.1432124739091,"lead_barium"
"zclr_noise_sd_0.03",68,1,92.5985415166557,"lead_barium"
"zclr_noise_sd_0.03",69,1,92.2418399767471,"lead_barium"
"zclr_noise_sd_0.03",70,1,91.0467530774352,"lead_barium"
"zclr_noise_sd_0.03",71,1,92.0910077528706,"lead_barium"
"zclr_noise_sd_0.03",72,1,92.0772567113964,"lead_barium"
"zclr_noise_sd_0.03",73,1,91.4892274493539,"lead_barium"
"zclr_noise_sd_0.03",74,1,92.2781051997608,"lead_barium"
"zclr_noise_sd_0.03",75,1,92.7879275081608,"lead_barium"
"zclr_noise_sd_0.03",76,1,93.3656382510499,"lead_barium"
"zclr_noise_sd_0.03",77,1,92.521655588933,"lead_barium"
"zclr_noise_sd_0.03",78,1,93.0444479909449,"lead_barium"
"zclr_noise_sd_0.03",79,0.943888578749231,92.1466772348108,"lead_barium"
"zclr_noise_sd_0.03",80,1,92.0469687260372,"lead_barium"
"zclr_noise_sd_0.03",81,1,91.8202520732888,"lead_barium"
"zclr_noise_sd_0.03",82,1,91.6734219677937,"lead_barium"
"zclr_noise_sd_0.03",83,1,92.3397168204943,"lead_barium"
"zclr_noise_sd_0.03",84,1,91.7174729016653,"lead_barium"
"zclr_noise_sd_0.03",85,0.943888578749231,91.9313079344333,"lead_barium"
"zclr_noise_sd_0.03",86,1,92.0767965340962,"lead_barium"
"zclr_noise_sd_0.03",87,1,91.6698040980606,"lead_barium"
"zclr_noise_sd_0.03",88,1,92.4708562204011,"lead_barium"
"zclr_noise_sd_0.03",89,1,92.3882861221404,"lead_barium"
"zclr_noise_sd_0.03",90,1,92.6691550546688,"lead_barium"
"zclr_noise_sd_0.03",91,1,91.9614490326398,"lead_barium"
"zclr_noise_sd_0.03",92,1,92.5662182022482,"lead_barium"
"zclr_noise_sd_0.03",93,1,91.7159351681346,"lead_barium"
"zclr_noise_sd_0.03",94,1,92.857837088936,"lead_barium"
"zclr_noise_sd_0.03",95,1,92.0398236381232,"lead_barium"
"zclr_noise_sd_0.03",96,1,91.8899068882272,"lead_barium"
"zclr_noise_sd_0.03",97,1,92.2016127583775,"lead_barium"
"zclr_noise_sd_0.03",98,1,92.1240348477118,"lead_barium"
"zclr_noise_sd_0.03",99,1,92.0846946272559,"lead_barium"
"zclr_noise_sd_0.03",100,1,92.0052960059831,"lead_barium"
"top4_features",1,0.667772750125691,65.6479739978698,"lead_barium"
"top6_features",1,0.893388299623538,124.972793561073,"lead_barium"
"initialization",1,0.592,26.5345463603539,"high_potassium"
"initialization",2,0.592,26.5345463603539,"high_potassium"
"initialization",3,1,11.2740354511308,"high_potassium"
"initialization",4,1,11.2740354511308,"high_potassium"
"initialization",5,1,11.2740354511308,"high_potassium"
"initialization",6,1,11.2740354511308,"high_potassium"
"initialization",7,1,11.2740354511308,"high_potassium"
"initialization",8,1,11.2740354511308,"high_potassium"
"initialization",9,0.592,26.5345463603539,"high_potassium"
"initialization",10,0.626338530903626,24.3216690477142,"high_potassium"
"initialization",11,0.626338530903626,24.3216690477142,"high_potassium"
"initialization",12,1,11.2740354511308,"high_potassium"
"initialization",13,0.592,26.5345463603539,"high_potassium"
"initialization",14,1,11.2740354511308,"high_potassium"
"initialization",15,1,11.2740354511308,"high_potassium"
"initialization",16,1,11.2740354511308,"high_potassium"
"initialization",17,1,11.2740354511308,"high_potassium"
"initialization",18,1,11.2740354511308,"high_potassium"
"initialization",19,1,11.2740354511308,"high_potassium"
"initialization",20,1,11.2740354511308,"high_potassium"
"initialization",21,1,11.2740354511308,"high_potassium"
"initialization",22,0.592,26.5345463603539,"high_potassium"
"initialization",23,1,11.2740354511308,"high_potassium"
"initialization",24,1,11.2740354511308,"high_potassium"
"initialization",25,0.592,26.5345463603539,"high_potassium"
"initialization",26,1,11.2740354511308,"high_potassium"
"initialization",27,1,11.2740354511308,"high_potassium"
"initialization",28,1,11.2740354511308,"high_potassium"
"initialization",29,1,11.2740354511308,"high_potassium"
"initialization",30,0.592,29.0580050060512,"high_potassium"
"initialization",31,0.536776491540517,40.7821050829556,"high_potassium"
"initialization",32,1,11.2740354511308,"high_potassium"
"initialization",33,0.626338530903626,24.3216690477142,"high_potassium"
"initialization",34,0.592,26.5345463603539,"high_potassium"
"initialization",35,0.592,26.5345463603539,"high_potassium"
"initialization",36,1,11.2740354511308,"high_potassium"
"initialization",37,1,11.2740354511308,"high_potassium"
"initialization",38,1,11.2740354511308,"high_potassium"
"initialization",39,0.592,26.5345463603539,"high_potassium"
"initialization",40,1,11.2740354511308,"high_potassium"
"initialization",41,1,11.2740354511308,"high_potassium"
"initialization",42,0.536776491540517,40.7821050829556,"high_potassium"
"initialization",43,1,11.2740354511308,"high_potassium"
"initialization",44,1,11.2740354511308,"high_potassium"
"initialization",45,1,11.2740354511308,"high_potassium"
"initialization",46,1,11.2740354511308,"high_potassium"
"initialization",47,1,11.2740354511308,"high_potassium"
"initialization",48,0.592,29.0580050060512,"high_potassium"
"initialization",49,1,11.2740354511308,"high_potassium"
"initialization",50,0.592,29.0580050060512,"high_potassium"
"initialization",51,1,11.2740354511308,"high_potassium"
"initialization",52,1,11.2740354511308,"high_potassium"
"initialization",53,1,11.2740354511308,"high_potassium"
"initialization",54,1,11.2740354511308,"high_potassium"
"initialization",55,0.626338530903626,30.5319709893079,"high_potassium"
"initialization",56,1,11.2740354511308,"high_potassium"
"initialization",57,1,11.2740354511308,"high_potassium"
"initialization",58,1,11.2740354511308,"high_potassium"
"initialization",59,1,11.2740354511308,"high_potassium"
"initialization",60,0.592,26.5345463603539,"high_potassium"
"initialization",61,1,11.2740354511308,"high_potassium"
"initialization",62,0.626338530903626,30.5319709893079,"high_potassium"
"initialization",63,1,11.2740354511308,"high_potassium"
"initialization",64,1,11.2740354511308,"high_potassium"
"initialization",65,0.592,29.0580050060512,"high_potassium"
"initialization",66,0.536776491540517,40.7821050829556,"high_potassium"
"initialization",67,1,11.2740354511308,"high_potassium"
"initialization",68,1,11.2740354511308,"high_potassium"
"initialization",69,1,11.2740354511308,"high_potassium"
"initialization",70,0.626338530903626,24.3216690477142,"high_potassium"
"initialization",71,1,11.2740354511308,"high_potassium"
"initialization",72,0.626338530903626,30.5319709893079,"high_potassium"
"initialization",73,1,11.2740354511308,"high_potassium"
"initialization",74,0.592,26.5345463603539,"high_potassium"
"initialization",75,1,11.2740354511308,"high_potassium"
"initialization",76,1,11.2740354511308,"high_potassium"
"initialization",77,1,11.2740354511308,"high_potassium"
"initialization",78,1,11.2740354511308,"high_potassium"
"initialization",79,0.592,26.5345463603539,"high_potassium"
"initialization",80,1,11.2740354511308,"high_potassium"
"initialization",81,1,11.2740354511308,"high_potassium"
"initialization",82,1,11.2740354511308,"high_potassium"
"initialization",83,0.592,26.5345463603539,"high_potassium"
"initialization",84,1,11.2740354511308,"high_potassium"
"initialization",85,1,11.2740354511308,"high_potassium"
"initialization",86,0.592,26.5345463603539,"high_potassium"
"initialization",87,1,11.2740354511308,"high_potassium"
"initialization",88,1,11.2740354511308,"high_potassium"
"initialization",89,0.592,26.5345463603539,"high_potassium"
"initialization",90,0.536776491540517,37.0952617870591,"high_potassium"
"initialization",91,1,11.2740354511308,"high_potassium"
"initialization",92,1,11.2740354511308,"high_potassium"
"initialization",93,1,11.2740354511308,"high_potassium"
"initialization",94,1,11.2740354511308,"high_potassium"
"initialization",95,0.626338530903626,24.3216690477142,"high_potassium"
"initialization",96,1,11.2740354511308,"high_potassium"
"initialization",97,1,11.2740354511308,"high_potassium"
"initialization",98,1,11.2740354511308,"high_potassium"
"initialization",99,1,11.2740354511308,"high_potassium"
"initialization",100,1,11.2740354511308,"high_potassium"
"zclr_noise_sd_0.03",1,1,11.6887069288354,"high_potassium"
"zclr_noise_sd_0.03",2,1,11.3147390552245,"high_potassium"
"zclr_noise_sd_0.03",3,1,11.6303594499935,"high_potassium"
"zclr_noise_sd_0.03",4,1,11.1701938128703,"high_potassium"
