"glass_type","component_j","component_k","baseline_r","max_absolute_change","median_absolute_change","minimum_r","maximum_r","sign_stability"
"高钾",1,2,0.0542545006671742,0.147531056382628,0.0203814032764487,-0.0932765557154543,0.195600743980932,0.875
"高钾",1,3,-0.348127284217064,0.178305524120257,0.0199878866005248,-0.526432808337321,-0.244461495427518,1
"高钾",1,4,-0.13460653030799,0.30336463185753,0.0210641139176016,-0.43797116216552,-0.0649007171622934,1
"高钾",1,5,-0.387328019149632,0.165002951619942,0.0540052396744449,-0.552330970769574,-0.327790843306619,1
"高钾",1,6,0.0687541337706304,0.296150755329135,0.0441943994113271,-0.227396621558505,0.250874892228987,0.9375
"高钾",1,7,-0.432323535703655,0.0894073883118358,0.017653918571263,-0.496818490548104,-0.342916147391819,1
"高钾",1,8,0.199745898402592,0.310308220032481,0.0343303841803796,0.100472209350944,0.510054118435073,1
"高钾",1,9,-0.18926376967667,0.0986375633498485,0.0257587785852138,-0.287901333026519,-0.103396439697425,1
"高钾",1,10,-0.219991014302309,0.19398243651974,0.0288182276467047,-0.29485729434468,-0.0260085777825683,1
"高钾",1,11,-0.00878393227919905,0.180759051869834,0.024550971353955,-0.112892685353815,0.171975119590635,0.625
"高钾",1,12,0.458939349700947,0.188269704235419,0.0171572315327562,0.404724525937653,0.647209053936366,1
"高钾",1,13,0.606688684740374,0.391047701234631,0.00592768269315674,0.562396526239741,0.997736385975004,1
"高钾",1,14,0.278223114673677,0.159853988577987,0.0211341260290039,0.126033188138229,0.438077103251664,1
"高钾",2,3,0.216578091954458,0.0824060119433611,0.030984721070231,0.134172080011097,0.266091991990076,1
"高钾",2,4,0.299405217375534,0.0653296499343256,0.0298780131665361,0.234075567441208,0.335847157260982,1
"高钾",2,5,-0.403818226434411,0.195782106108946,0.0208659801995663,-0.497392404673458,-0.208036120325465,1
"高钾",2,6,0.245441560562435,0.0803312472830335,0.0146241784497906,0.173492269487513,0.325772807845468,1
"高钾",2,7,-0.174797003463307,0.188676601707358,0.0276449710375977,-0.363473605170665,-0.0755640430667007,1
"高钾",2,8,-0.113022092951,0.189461221434113,0.0102027438789891,-0.249783174562563,0.0764391284831134,0.9375
"高钾",2,9,0.0676838238118794,0.291440046437354,0.0309309776935098,-0.223756222625475,0.261739686508151,0.9375
"高钾",2,10,-0.514622611172821,0.0799226128614747,0.0169385454537775,-0.594545224034296,-0.436961679747552,1
"高钾",2,11,-0.549886513397414,0.203864301474178,0.00873608724357766,-0.709210010022564,-0.346022211923237,1
"高钾",2,12,-0.295837117005418,0.174757706327517,0.0169884209838347,-0.384492547015598,-0.121079410677901,1
"高钾",2,13,0.00951632385933851,0.104351193992445,0.0211136213199258,-0.088509879745082,0.113867517851784,0.625
"高钾",2,14,-0.272867653876907,0.202739279246623,0.0466383351205978,-0.47560693312353,-0.184336431577426,1
"高钾",3,4,-0.127269858394648,0.140612614605226,0.0247195420087169,-0.177281036545702,0.0133427562105783,0.9375
"高钾",3,5,-0.0294172026632152,0.14934569580058,0.0275204339251166,-0.178762898463795,0.0916276197151213,0.75
"高钾",3,6,-0.0855233403558763,0.0901017559888889,0.0241958488518964,-0.119939212328808,0.00457841563301256,0.9375
"高钾",3,7,-0.198583206137642,0.129644515167401,0.0306687527503501,-0.260291543180263,-0.0689386909702415,1
"高钾",3,8,-0.472577556731677,0.0962657147283287,0.0109844556666073,-0.529342093561776,-0.376311842003349,1
"高钾",3,9,-0.188509899826847,0.268954642313478,0.0333484771334012,-0.333931250976469,0.0804447424866306,0.9375
"高钾",3,10,-0.400530681583611,0.260557655619375,0.0198065456012305,-0.534931190647328,-0.139973025964236,1
"高钾",3,11,-0.219986211526801,0.108346350114897,0.0156162480893871,-0.30987642461728,-0.111639861411904,1
"高钾",3,12,0.0191472940340376,0.263105709180885,0.0418380158692529,-0.243958415146847,0.108587920058078,0.8125
"高钾",3,13,0.0371771263800573,0.404029538191416,0.0211964107505452,-0.366852411811358,0.098395319781207,0.875
"高钾",3,14,0.0687387971484495,0.135684695111145,0.0388468851135889,-0.0669458979626952,0.120707907515805,0.9375
"高钾",4,5,-0.301210361081584,0.161308820325794,0.0223342388147759,-0.346551167711289,-0.139901540755791,1
"高钾",4,6,-0.175966838097651,0.269215373306878,0.0188648909691824,-0.245431716224165,0.093248535209227,0.9375
"高钾",4,7,0.232256551428754,0.401520912007752,0.017897402248155,-0.169264360578998,0.54894163626043,0.9375
"高钾",4,8,0.412120135965128,0.484073520962298,0.0105034833251907,-0.0719533849971705,0.59345405150251,0.9375
"高钾",4,9,-0.0115810785570119,0.101037048464113,0.0444505973917035,-0.112618127021125,0.0816721773774911,0.6875
"高钾",4,10,-0.388055762444658,0.248585451831413,0.0202674085566567,-0.534388562286462,-0.139470310613245,1
"高钾",4,11,-0.414143562644822,0.112320126579183,0.0197547622053452,-0.513114418964246,-0.301823436065639,1
"高钾",4,12,-0.694205411766386,0.111462792717591,0.00843822881322959,-0.755298139935985,-0.582742619048796,1
"高钾",4,13,-0.51823789140064,0.469279880163286,0.00948040330756972,-0.933949097500198,-0.0489580112373536,1
"高钾",4,14,0.193574593847427,0.158496477915836,0.0312969978711208,0.0350781159315906,0.240105064750289,1
"高钾",5,6,0.200231162947065,0.262131073037056,0.0397755293089781,0.121018083276304,0.462362235984121,1
"高钾",5,7,0.033860182225866,0.281391404813036,0.0175003715471328,-0.224670123981833,0.315251587038902,0.6875
"高钾",5,8,-0.519442538246898,0.0836097495657102,0.0208966975601906,-0.577849361169782,-0.435832788681188,1
